Access URL;Time To Process(ms);Has JSON Errors;Expected Classes;actual_classes;actual_classes_instances;classes_inc_tr_cnt;Expected Properties;actual_properties;actual_prop_triples;actual_prop_data_triples;Expected Triples;Output File;API Call Query;ERROR MSG
https://sparql.string-db.org/;94320;FALSE;0;0;0;0;5;13;443541930;979312;443541930;https_sparql_string-db_org_;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://sparql.string-db.org/;NULL
https://relate.racai.ro/datasets/parseme/query;285750;FALSE;2;2;1072327;2031245;14;14;11203698;8100126;11203698;https_relate_racai_ro_datasets_parseme_query;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://relate.racai.ro/datasets/parseme/query;NULL
https://imagesnippets.com/sparql/images;3639650;FALSE;5;5;165316;12073;1294;1298;6007688;3698504;6021310;https_imagesnippets_com_sparql_images;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://imagesnippets.com/sparql/images;NULL
http://data.rism.info/sparql;390680;FALSE;7;7;153903;2096026;47;47;28256929;18234231;28256929;http_data_rism_info_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=http://data.rism.info/sparql;NULL
https://api.kunstmuseum.nl/query/proxy/wdqs/bigdata/namespace/wdq/sparql;616100;FALSE;12;12;525967;665190;361;361;4065721;973490;4013493;https_api_kunstmuseum_nl_query_proxy_wdqs_bigdata_namespace_wdq_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.kunstmuseum.nl/query/proxy/wdqs/bigdata/namespace/wdq/sparql;NULL
https://query.portal.mardi4nfdi.de/proxy/wdqs/bigdata/namespace/wdq/sparql;3842630;TRUE;16;16;80549648;4449430;3994;4000;454243483;3367;454072849;https_query_portal_mardi4nfdi_de_proxy_wdqs_bigdata_namespace_wdq_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://query.portal.mardi4nfdi.de/proxy/wdqs/bigdata/namespace/wdq/sparql;NULL
https://api.druid.datalegend.net/datasets/dataLegend/CEDAR-S/sparql;2650020;TRUE;16;16;1457211;2172629;53;53;10654352;1689808;10654352;https_api_druid_datalegend_net_datasets_dataLegend_CEDAR-S_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://api.druid.datalegend.net/datasets/dataLegend/CEDAR-S/sparql;NULL
https://lingualibre.org/sparql;2566180;TRUE;18;18;15707836;6346610;175;175;66555228;9308725;66482154;https_lingualibre_org_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://lingualibre.org/sparql;NULL
https://lingualibre.org/bigdata/namespace/wdq/sparql;220;TRUE;18;0;0;0;175;0;0;0;66455349;https_lingualibre_org_bigdata_namespace_wdq_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://lingualibre.org/bigdata/namespace/wdq/sparql;NULL
https://coxpresdb.jp/sparql;419250;TRUE;20;8;49188693;53;121;35;245946818;49191011;245948932;https_coxpresdb_jp_sparql;http://localhost:8080/schema-extractor-rest/v2/endpoint/buildFullSchema?calculateSubClassRelations=True&calculateMultipleInheritanceSuperclasses=True&calculatePropertyPropertyRelations=False&calculateSourceAndTargetPairs=False&calculateDomainsAndRanges=True&calculateImportanceIndexes=True&calculateClosedClassSets=False&calculateCardinalitiesMode=propertyLevelOnly&calculateDataTypes=propertyLevelOnly&sampleLimitForDataTypeCalculation=100000&checkInstanceNamespaces=False&addedLabels=rdfs%3Alabel&minimalAnalyzedClassSize=1&addIntersectionClasses=no&exactCountCalculations=no&excludedNamespaces=http%3A%2F%2Fwww.openlinksw.com%2Fschemas%2Fvirtrdf%23&maxInstanceLimitForExactCount=10000000&enableLogging=True&saveThisConfig=True&endpointUrl=https://coxpresdb.jp/sparql;NULL
